instances/queen11_11.col,  39.0, 37.0, 35.0, 35.0, 36.0, 58.0, 259.8987, 15.2174, 67.2503, 10.2805, 16.7035, 300.323, 12097, 6135, 5510, 34432, 31824, 1735262, 
instances/queen12_12.col,  42.0, 43.0, 38.0, 58.0, 42.0, 66.0, 94.8853, 30.0668, 207.8432, 208.7843, 17.9428, 300.3528, 9044, 4078, 4107, 29679, 26485, 2934505, 
instances/queen13_13.col,  57.0, 55.0, 46.0, 135.0, 86.0, 81.0, 248.715, 50.2839, 202.3709, 286.4289, 289.6435, 302.5428, 9294, 2609, 2289, 30768, 25068, 4755830, 
instances/queen14_14.col,  56.0, 64.0, 56.0, 156.0, 65.0, 91.0, 223.7881, 101.4182, 293.7564, 291.9064, 163.9817, 302.3013, 7736, 1990, 1459, 28623, 22231, 7433987, 
instances/queen15_15.col,  80.0, 78.0, 96.0, 225.0, 180.0, 109.0, 141.2699, 239.6942, 153.8782, 16.8352, 284.7891, 305.7536, 7776, 1415, 870, 25201, 20003, 11264626, 
instances/queen16_16.col,  83.0, 94.0, 81.0, 204.0, 204.0, 120.0, 232.6773, 237.8749, 150.6888, 295.3154, 284.1961, 577.6222, 7302, 825, 580, 21077, 16680, 16614017, 
instances/queen5_5.col,  6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 0.4508, 35.5849, 1.6147, 0.4167, 1.3856, 300.0026, 568, 6595, 1125, 617, 1455, 14126, 
instances/queen6_6.col,  8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 63.1001, 74.5815, 1.3548, 20.4944, 59.4101, 300.0137, 16671, 17367, 21378, 25979, 29255, 43507, 
instances/queen7_7.col,  14.0, 13.0, 13.0, 13.0, 12.0, 16.0, 0.898, 17.5231, 13.8705, 15.2771, 58.32, 300.0331, 17169, 19060, 19327, 33386, 33787, 111770, 
instances/queen8_12.col,  27.0, 27.0, 25.0, 27.0, 25.0, 43.0, 36.6427, 15.8327, 118.764, 98.87, 145.8696, 300.2159, 11411, 9526, 9276, 34489, 33679, 861937, 
instances/queen8_8.col,  16.0, 17.0, 15.0, 17.0, 16.0, 28.0, 4.6952, 231.5114, 229.0937, 128.3706, 11.2775, 300.1265, 14238, 16539, 16341, 34531, 36373, 252065, 
instances/queen9_9.col,  23.0, 24.0, 22.0, 25.0, 25.0, 38.0, 138.2789, 197.7505, 140.5272, 179.8997, 124.8068, 300.1929, 11805, 12714, 12817, 38076, 35603, 515242, 
instances/zeroin.i.1.col,  116.0, 114.0, 112.0, 132.0, 135.0, 142.0, 268.6824, 109.2276, 145.1721, 197.1329, 108.2413, 300.8059, 9697, 3845, 6378, 31213, 21020, 1961002, 
instances/zeroin.i.2.col,  85.0, 95.0, 117.0, 134.0, 105.0, 96.0, 204.7145, 124.9758, 97.116, 282.1285, 270.016, 301.8265, 7673, 2563, 6037, 37537, 20669, 3808664, 
instances/zeroin.i.3.col,  80.0, 91.0, 76.0, 174.0, 99.0, 91.0, 206.8136, 135.2272, 36.4389, 274.1781, 233.3443, 301.8081, 7640, 2524, 5566, 37791, 22261, 3808664, 
